"","Country","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate"
"1","Belgium",1068.25416874606,0.0634534796857436,0.00392329206149827,2.96659448390472,-0.0253871968139663,-0.0185406465958243
"2","Brazil",14296.8283405155,0.0259583807101628,-0.00125432791325353,-0.249471991421066,-0.21690852520976,-0.0479337608848336
"3","China",195933.39076627,0.452683287138351,-0.00102123257096021,-0.250799392295686,-85.1090122944024,-1.02601716023082
"4","Denmark",147.704947158461,0.0211744367319975,0.00422903756466114,2.99640509796817,-0.00690940983132293,-0.0136168983685721
"5","Finland",460.773099646205,0.0697099973719499,0.000432886641416524,0.245935521611743,-0.0118677559032676,-0.0222536400047425
"6","France",7282.83855054714,0.052245421597345,0.00138514250846675,0.773581202214373,-0.0525473207472942,-0.0119073764268396
"7","Germany",9647.86694842763,0.0724979589755498,-4.88660118954376e-05,-0.0250160315309166,-0.148020657652069,-0.0192010733422276
"8","India",4820445.3800782,1.64424803589164,-0.00128831807178131,-0.272629481732219,-32.2620007044695,-1.63760779526321
"9","Indonesia",3976147.85710851,14.1736978932154,0.00217156567613941,0.533448670982504,-31.0179569041127,-6.1462499742504
"10","Ireland",2538.3032845183,0.382609060626865,0.0022713701368447,1.21958928176206,-0.31441694849709,-0.583614664327722
"11","Italy",3673.24917111546,0.0298906627184424,-0.000876043059984177,-0.249459376453799,-0.0675146560062103,-0.0168871293406394
"12","Japan",1368.25038954709,0.0769714353000565,0.000671721404046921,0.323113120608339,-1.160989405073,-0.0957103435208259
"13","Luxembourg",246.745976385399,0.23779887904613,0.00312689178177211,1.94692501994218,-0.0376168237916339,-0.288897377503421
"14","Mexico",51342.2708702385,0.098203140393012,-0.000911474937334789,-0.220491290915961,-1.60316001866931,-0.349184441275926
"15","Russian Federation",1671359.82904966,8.76270082387846,-0.000248074221465111,-0.0875869318740748,-80.8593994418068,-6.44769141226319
"16","South Africa",5697.86928392202,0.0180082020642367,-0.00147687617882775,-0.249601812114253,-0.116285783871319,-0.0391933145122807
"17","Spain",7995.81022233889,0.0793463720294418,7.23301514443941e-05,0.0347906355371573,-0.0398587765329239,-0.0143313352033277
"18","Turkiye",72450.6954246797,0.642567592091963,9.24709353742892e-05,0.0297934843212142,-7.77025826158666,-1.80636281128853
"19","United Kingdom",155917.732569054,0.867479352063896,0.00171536976838155,0.777425060717629,-19.3963348173259,-3.33015251502948
"20","United States",46562.6561701819,0.116435685908408,-0.00120998174988618,-0.248276837431154,-26.1549725872719,-0.473642968083665
"21","Other HICs",261972.878780978,0.727770607606524,0.000990530683576071,0.325414851541298,-15.5441684056934,-0.504833036411245
"22","Other LICs",649561.720816888,0.291899709249804,-0.00131084531087308,-0.340503019874054,-0.834385987623323,-0.578811543810164
"23","Other LMICs",15936093.5348799,4.73032527240954,-0.00036583863979373,-0.0988599438782034,-197.680531815152,-8.16887798219612
"24","Other UMICs",3824873.27326967,3.8587887708691,0.00113650715903681,0.277792647771693,-77.8194543948428,-4.84689677494697
