"","Country","ReGroup","SubScenario","Amount","Share"
"90","India","Next 40%","Implicit_cons",3587.46703765904,0.396774744511737
"91","India","Next 40%","Implicit_prod",17392.5698779856,0.416647110502988
"92","India","Next 40%","Null",NA,NA
"93","India","Top 10%","Explicit",2436.02254963096,0.36188814284283
"94","India","Top 10%","Implicit_cons",338.719564359928,0.0374624678636031
"95","India","Top 10%","Implicit_prod",11847.0356547856,0.283801255836264
"96","India","Top 10%","Null",NA,NA
"97","Indonesia","Bottom 50%","Explicit",3082.12189648649,0.396543495778695
"98","Indonesia","Bottom 50%","Implicit_cons",1419.17337229989,0.487118738718328
"99","Indonesia","Bottom 50%","Implicit_prod",2487.75860381611,0.280188136619741
"100","Indonesia","Bottom 50%","Null",NA,NA
"101","Indonesia","Next 40%","Explicit",3423.76194063201,0.440498648090447
"102","Indonesia","Next 40%","Implicit_cons",1250.34379021201,0.429169474244946
"103","Indonesia","Next 40%","Implicit_prod",3974.48637028334,0.447633435334935
"104","Indonesia","Next 40%","Null",NA,NA
"105","Indonesia","Top 10%","Explicit",1266.58483100102,0.162957856130858
"106","Indonesia","Top 10%","Implicit_cons",243.886202002293,0.0837117870367259
"107","Indonesia","Top 10%","Implicit_prod",2416.64131219748,0.272178428045323
"108","Indonesia","Top 10%","Null",NA,NA
"109","Ireland","Bottom 50%","Explicit",58.2269611639895,0.463225225202844
"110","Ireland","Bottom 50%","Implicit_cons",67.074603378386,0.363346891872157
"111","Ireland","Bottom 50%","Implicit_prod",28.773328689227,0.349767742256018
"112","Ireland","Bottom 50%","Null",NA,NA
"113","Ireland","Next 40%","Explicit",52.2266853392343,0.415489965374097
"114","Ireland","Next 40%","Implicit_cons",89.6798285243955,0.485800665479108
"115","Ireland","Next 40%","Implicit_prod",39.2275222384937,0.476848613375512
"116","Ireland","Next 40%","Null",NA,NA
"117","Ireland","Top 10%","Explicit",15.2453828155966,0.121284809423058
"118","Ireland","Top 10%","Implicit_cons",27.8476794095839,0.150852442648735
"119","Ireland","Top 10%","Implicit_prod",14.2632495397428,0.17338364436847
"120","Ireland","Top 10%","Null",NA,NA
"121","Italy","Bottom 50%","Explicit",0,NA
"122","Italy","Bottom 50%","Implicit_cons",208.407841398381,0.267206592645623
"123","Italy","Bottom 50%","Implicit_prod",523.499217439021,0.271618795496115
"124","Italy","Bottom 50%","Null",NA,NA
"125","Italy","Next 40%","Explicit",0,NA
"126","Italy","Next 40%","Implicit_cons",388.397114685475,0.497976798339909
"127","Italy","Next 40%","Implicit_prod",932.011525429319,0.483576363617194
"128","Italy","Next 40%","Null",NA,NA
"129","Italy","Top 10%","Explicit",0,NA
"130","Italy","Top 10%","Implicit_cons",183.145266457161,0.234816609014468
"131","Italy","Top 10%","Implicit_prod",471.819862080567,0.244804840886691
"132","Italy","Top 10%","Null",NA,NA
"133","Japan","Bottom 50%","Explicit",94.1028917677212,0.449267784844702
"134","Japan","Bottom 50%","Implicit_cons",1146.14723290292,0.52822234141962
"135","Japan","Bottom 50%","Implicit_prod",2292.88399276815,0.418082616183785
"136","Japan","Bottom 50%","Null",NA,NA
"137","Japan","Next 40%","Explicit",89.6543858113427,0.428029644556475
"138","Japan","Next 40%","Implicit_cons",843.514606397715,0.388748711877569
"139","Japan","Next 40%","Implicit_prod",2416.51316879104,0.440625060333302
"140","Japan","Next 40%","Null",NA,NA
"141","Japan","Top 10%","Explicit",25.701078755677,0.122702570598823
"142","Japan","Top 10%","Implicit_cons",180.157842734397,0.0830289467028111
"143","Japan","Top 10%","Implicit_prod",774.887293263057,0.141292323482913
