"","Country","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate"
"1","Belgium",11172.0151729176,0.663609147114935,0.00408059607380562,3.0855398002085,-1.73979993493236,-1.27060171224865
"2","Brazil",68344.7066479102,0.124091712681701,-0.00111490028456018,-0.221741373436951,-1.41228925588001,-0.312096241612019
"3","China",631982.180454515,1.46012769820478,-0.000982995020956223,-0.241408823901595,-250.816898405214,-3.02368027664851
"4","Denmark",15073.3950718507,2.1608663516388,0.00482978015238061,3.42204996985369,-1.11641422403451,-2.20020224549271
"5","Finland",13683.6383076736,2.07018680387172,0.00067689131147014,0.384561688519942,-0.565884699121263,-1.06110999257824
"6","France",92512.1780567151,0.66366125129859,0.00151603476154821,0.846682551628154,-7.99605601736289,-1.81192965834968
"7","Germany",265710.459196622,1.99665543411652,0.000325430680259892,0.166598088174844,-22.8790506395346,-2.96784473396173
"8","India",3991019.4740895,1.36133187165591,-0.00108128732046864,-0.228818339383679,-28.3588109554098,-1.43948325804051
"9","Indonesia",7433708.16053623,26.4987966947466,0.00152322955591128,0.374183839397715,-76.4572467136716,-15.1501065043666
"10","Ireland",1046.67210002418,0.157769259259576,0.00210178572659381,1.1285326434181,-0.183660836692525,-0.340907696193891
"11","Italy",46086.2242254987,0.375021600800517,-0.000721631127293509,-0.205489500764428,-7.51033467689984,-1.87852535408949
"12","Japan",49552.6504805293,2.78760280979778,0.000862989414106147,0.415117340260191,-20.7541275745821,-1.71094126351084
"13","Luxembourg",999.156136239428,0.962926377444502,0.00315694652668189,1.96563827864014,-0.181368428277183,-1.39291035259731
"14","Mexico",274079.47413107,0.524235968155012,-0.0005585142818883,-0.135107977152552,-8.10707051059853,-1.76580182493424
"15","Russian Federation",2058199.40008698,10.7908454333878,-0.000335469755350704,-0.11844344984409,-79.2794562515965,-6.32170746717201
"16","South Africa",176296.528390974,0.557187844839923,-0.00171507577572472,-0.289859114576508,-7.09972550644409,-2.39291309273751
"17","Spain",22215.6807524767,0.220457167048382,8.21206770833804e-05,0.039499855722947,-0.362566083160061,-0.13036165490008
"18","Turkiye",527887.623762676,4.68185263520306,0.00135720969830261,0.437283409141565,-23.5945879130213,-5.48506686894297
"19","United Kingdom",238011.788622785,1.32422597979111,0.00186994194234222,0.847478925453749,-25.2864654952496,-4.34142777273532
"20","United States",20018.4717810005,0.0500586668453754,-0.00123966175973472,-0.254366895385181,-6.64887071010526,-0.12040505288357
"21","Other HICs",1503003.43325041,4.17540062521451,0.00129531439749103,0.425544154611218,-69.2946855175819,-2.25050614378252
"22","Other LICs",1870819.30115837,0.840707807381697,-0.00275250676078165,-0.714986624657997,-4.32555493317534,-3.0006270069784
"23","Other LMICs",18529822.2731836,5.50022415469956,-0.000714615723924323,-0.193109373032529,-192.096966007258,-7.93814475130367
"24","Other UMICs",4595557.31920152,4.63630654201019,0.00115705731847362,0.282815654584004,-100.067632829624,-6.23259942658534
