"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"1","Belgium","Cash",-166825.948970788,-9.90933363405313,0.00218675107217961,-0.986510771638308,-0.720463456991737,-0.10896770689393,-3.25786478056627
"2","Belgium","Null",11172.0151729176,0.663609147114935,0.00408059607380562,-1.73979993493236,-1.27060171224865,0.134403455673533,4.01833072482132
"3","Belgium","SP_covid",-74798.576169478,-4.44297815290881,0.00252891355251478,-0.990973182281209,-0.723722421709337,0.0856281458652894,2.56006966276041
"4","Belgium","SP_current",-67398.8954557281,-4.00344278427826,0.0154226918789245,-0.991338671050102,-0.723989343581351,-0.030103951341216,-0.90003364873866
"5","Brazil","Cash",-223565.348621003,-0.40592180971063,-0.000976080636208021,-0.208931068776451,-0.0461708541997523,-0.775866146952204,-2.75133146219147
"6","Brazil","Null",68344.7066479102,0.124091712681701,-0.00111490028456018,-1.41228925588001,-0.312096241612019,0.0582813296307982,0.206673865719579
"7","Brazil","SP_covid",-228350.76009085,-0.414610557300683,-0.000652385560175106,-0.230212351700914,-0.0508737211158276,-0.744771242581447,-2.64106451853737
"8","Brazil","SP_current",-222941.180737175,-0.404788524259509,-0.00091303943156662,-0.213520407072735,-0.0471850339988218,-0.771542046471492,-2.73599758824298
"9","China","Cash",-9961062.00130073,-23.0139756807291,-0.0177533321901769,-129.37462971946,-1.55965375008123,-1.3113128244662,-8.731119428293
"10","China","Null",631982.180454515,1.46012769820478,-0.000982995020956223,-250.816898405214,-3.02368027664851,-0.0197046055109311,-0.131199253750435
"11","China","SP_covid",-22765119.2806761,-52.5963899658453,-0.016659321558481,-125.111520242344,-1.50826056196229,-2.30642396425734,-15.3568719137673
"12","China","SP_current",-23086679.5681868,-53.3393208537058,-0.0149638297908269,-126.989711310647,-1.53090277357209,-2.65151277156349,-17.654578100835
"13","Denmark","Cash",-60974.0843923967,-8.74101996646846,0.00564926516574266,-0.684544853596826,-1.34908449892489,-0.110100303545818,-3.23037302089048
"14","Denmark","Null",15073.3950718507,2.1608663516388,0.00482978015238061,-1.11641422403451,-2.20020224549271,0.174371619717212,5.11611101697869
"15","Denmark","SP_covid",-14251.5187327341,-2.04304518938971,0.00233675088477772,-0.698209052116972,-1.376013572041,0.101638319363213,2.98209609043395
"16","Denmark","SP_current",-15337.200995749,-2.19868459640698,0.00331075650127163,-0.697886189577552,-1.37537728232977,0.0926280848225773,2.71773334451424
"17","Finland","Cash",-75168.2531770203,-11.3721454994824,0.000951283052039759,-0.248842698649099,-0.466613560194727,-0.0866980395908516,-2.17081778929757
"18","Finland","Null",13683.6383076736,2.07018680387172,0.00067689131147014,-0.565884699121263,-1.06110999257824,0.00662388624621313,0.165854385698016
"19","Finland","SP_covid",-21273.0962457084,-3.21838988543433,-0.00119540979256014,-0.255342906464506,-0.478802324933328,-0.0512562830850918,-1.28339754462141
"20","Finland","SP_current",-26166.7977515763,-3.95875411106967,0.0103971021403156,-0.254557316638845,-0.47732923825088,0.0783896933292358,1.96278648951876
"21","France","Cash",-734987.687309269,-5.27263392231117,0.00934352715494582,-5.5433656459748,-1.25614285332772,-0.111018497267977,-2.66085241714225
"22","France","Null",92512.1780567151,0.66366125129859,0.00151603476154821,-7.99605601736289,-1.81192965834968,0.0040218213762655,0.0963936046127448
"23","France","SP_covid",-593727.894376587,-4.25926840757417,-0.000138767873463425,-5.56341447886501,-1.26068597744418,-0.052253644046572,-1.25239701930209
"24","France","SP_current",-675597.012488272,-4.84657877589567,0.0100218524409859,-5.55083566708214,-1.25783558193836,-0.0894451112012771,-2.14378906397003
"25","Germany","Cash",-3152689.68881385,-23.6905804095397,-0.00661352210277477,-14.0692122435862,-1.82504239909172,-0.481100733395031,-10.4798215035056
"26","Germany","Null",265710.459196622,1.99665543411652,0.000325430680259892,-22.8790506395346,-2.96784473396173,0.0107625206025341,0.234440080867114
"27","Germany","SP_covid",-1313885.97527547,-9.87306852833368,-0.00327569654723517,-14.3433760697874,-1.86060662247903,-0.122562895968769,-2.66978863998275
"28","Germany","SP_current",-1199597.71085934,-9.01426046751375,0.011636886620593,-14.32305772985,-1.85797095025923,-0.133276937405652,-2.90317269875845
"29","India","Cash",-38421628.1190504,-13.1055704586124,-0.00506429840301559,-4.38141885114055,-0.222399278044369,-1.08489645302528,-6.32383162130285
"30","India","Null",3991019.4740895,1.36133187165591,-0.00108128732046864,-28.3588109554098,-1.43948325804051,-0.003717484732217,-0.0216691163804153
"31","India","SP_covid",-28510754.9364754,-9.72498371205007,-0.00837634102637114,-5.9513526057226,-0.302088562602417,-0.956032142386398,-5.57268509464299
"32","India","SP_current",-30654182.6702595,-10.456104296035,-0.00378038574997697,-5.50876569806633,-0.279623007018974,-1.24096525903144,-7.23355240411911
"33","Indonesia","Cash",-3548359.74296588,-12.6487698195961,-0.0280195416850245,-42.8957313973238,-8.49984700189251,-0.931001738261731,-7.44949719577436
