"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"1","Belgium","Cash",-204167.37833428,-12.1273859467665,0.000895516102738969,0.677143860051736,-0.798188480814787,-0.582928893177504,-0.154904472070396,-4.63126038250574
"2","Belgium","Null",11172.0151729176,0.663609147114935,0.00408059607380562,3.0855398002085,-1.73979993493236,-1.27060171224865,0.134403455673533,4.01833072482132
"3","Belgium","SP_covid",-96291.2240050763,-5.71962497791472,0.00214553965237327,1.62234827230748,-0.803766494118435,-0.587002599074519,0.0737327418744216,2.20442652024499
"4","Belgium","SP_current",-86929.6896305373,-5.16355700397975,0.015002010121836,11.3437592147869,-0.804223355079557,-0.587336251414542,-0.046555353279901,-1.39188985545092
"5","Brazil","Cash",-296542.862438232,-0.538425190308712,-0.00131452254328646,-0.261444039613965,0.091908477999425,0.0203104926533113,-0.974989299545953,-3.45745041935185
"6","Brazil","Null",68344.7066479102,0.124091712681701,-0.00111490028456018,-0.221741373436951,-1.41228925588001,-0.312096241612019,0.0582813296307982,0.206673865719579
"7","Brazil","SP_covid",-302524.62677554,-0.549286124796279,-0.000988828101470829,-0.196667006323074,0.0653068743438325,0.014431909008214,-0.935459588385946,-3.31727245381862
"8","Brazil","SP_current",-295762.65258345,-0.537008583494819,-0.00125012035330985,-0.248635154141849,0.0861718051290836,0.0190427679044775,-0.969241926364891,-3.43706941842775
"9","China","Cash",-9961062.00130073,-23.0139756807291,-0.0198891426004211,-4.88447491718536,-99.0140625480199,-1.19364711843939,-1.33107182247581,-8.86268084383514
"10","China","Null",631982.180454515,1.46012769820478,-0.000982995020956223,-0.241408823901595,-250.816898405214,-3.02368027664851,-0.0197046055109311,-0.131199253750435
"11","China","SP_covid",-26861161.0837063,-62.0598594663742,-0.0209929977678842,-5.15556517914391,-93.6851757016266,-1.12940563329073,-2.76806290225998,-18.4306043025985
"12","China","SP_current",-25243776.837322,-58.3230649651631,-0.0195336232742013,-4.79716470646475,-96.0329145370051,-1.15770839780298,-3.20042741032773,-21.3094186374093
"13","Denmark","Cash",-86131.9851906423,-12.3475638839909,0.0038539003645387,2.73060868408022,-0.576577510987413,-1.13630506228295,-0.154153690027346,-4.52291142982927
"14","Denmark","Null",15073.3950718507,2.1608663516388,0.00482978015238061,3.42204996985369,-1.11641422403451,-2.20020224549271,0.174371619717212,5.11611101697869
"15","Denmark","SP_covid",-21582.7471838803,-3.09402307464683,0.00172439516510811,1.2217877908719,-0.593657759137592,-1.16996640367808,0.0840906223401907,2.46724186009713
"16","Denmark","SP_current",-22939.850012649,-3.28857233341843,0.00260393224683769,1.84496726261957,-0.593254180963314,-1.16917104153904,0.07297368686128,2.14106793241937
"17","Finland","Cash",-96649.9969824934,-14.6221015090113,-0.000421153995389223,-0.239269863343406,-0.169582198531053,-0.317989452098839,-0.139554658150742,-3.49428586762345
"18","Finland","Null",13683.6383076736,2.07018680387172,0.00067689131147014,0.384561688519942,-0.565884699121263,-1.06110999257824,0.00662388624621313,0.165854385698016
"19","Finland","SP_covid",-30012.2798840539,-4.54053405776083,-0.00165814459093264,-0.942040284598029,-0.177707458300311,-0.333225408022091,-0.0653790787317945,-1.63701587519912
"20","Finland","SP_current",-36129.4067663888,-5.46598933980502,0.0098260887652446,5.58248750290835,-0.176725471018244,-0.331384049669048,0.058795389154231,1.47216796719987
"21","France","Cash",-941862.653650766,-6.75670771571361,0.0085449309808508,4.77221509021654,-4.93019305312777,-1.11719615207222,-0.138747336481386,-3.32544751310589
