"","Group","Reg","SPScenario","value"
"128","D3","France","Cash",66.4919615350334
"129","D3","United Kingdom","Cash",64.5149570541125
"130","D3","Indonesia","Cash",22.2651085674078
"131","D3","India","Cash",32.0513420734706
"132","D3","Ireland","Cash",71.4139539509584
"133","D3","Italy","Cash",39.0981019290213
"134","D3","Japan","Cash",39.0626005143886
"135","D3","Luxembourg","Cash",25.7154838276483
"136","D3","Mexico","Cash",37.6564115956293
"137","D3","Russian Federation","Cash",69.6822025468159
"138","D3","Turkiye","Cash",10.5393864802307
"139","D3","United States","Cash",78.0948682012123
"140","D3","South Africa","Cash",79.6268815073055
"141","D3","Belgium","SP_current",58.1728627686407
"142","D3","Brazil","SP_current",39.4023288583624
"143","D3","China","SP_current",56.2763515126004
"144","D3","Germany","SP_current",52.0347445637121
"145","D3","Denmark","SP_current",99.9456089147714
"146","D3","Spain","SP_current",49.8139032200989
"147","D3","Finland","SP_current",67.1027213355759
"148","D3","France","SP_current",71.9367715779482
"149","D3","United Kingdom","SP_current",87.7073706159211
"150","D3","Indonesia","SP_current",41.5086226929397
"151","D3","India","SP_current",86.9771713882692
"152","D3","Ireland","SP_current",94.1775849250899
"153","D3","Italy","SP_current",89.3705897097518
"154","D3","Japan","SP_current",39.0626005143886
"155","D3","Luxembourg","SP_current",72.9788073117651
"156","D3","Mexico","SP_current",40.4858020746346
"157","D3","Russian Federation","SP_current",77.9261312645415
"158","D3","Turkiye","SP_current",23.7265062419992
"159","D3","United States","SP_current",78.0948682012123
"160","D3","South Africa","SP_current",96.394835153652
"161","D3","Belgium","SP_covid",100
"162","D3","Brazil","SP_covid",53.5871665131657
"163","D3","China","SP_covid",100
"164","D3","Germany","SP_covid",100
"165","D3","Denmark","SP_covid",100
"166","D3","Spain","SP_covid",100
"167","D3","Finland","SP_covid",100
"168","D3","France","SP_covid",100
"169","D3","United Kingdom","SP_covid",100
"170","D3","Indonesia","SP_covid",100
"171","D3","India","SP_covid",100
"172","D3","Ireland","SP_covid",100
"173","D3","Italy","SP_covid",100
"174","D3","Japan","SP_covid",93.8184606009817
"175","D3","Luxembourg","SP_covid",100
"176","D3","Mexico","SP_covid",55.0606902226521
"177","D3","Russian Federation","SP_covid",100
"178","D3","Turkiye","SP_covid",61.544866361721
"179","D3","United States","SP_covid",100
"180","D3","South Africa","SP_covid",100
"181","D4","Belgium","Cash",10.6854314065633
"182","D4","Brazil","Cash",24.0905247356701
"183","D4","China","Cash",14.1552357709499
"184","D4","Germany","Cash",11.0463430775523
"185","D4","Denmark","Cash",34.0019833851291
"186","D4","Spain","Cash",29.5188104781593
"187","D4","Finland","Cash",20.3722605474225
