"","Group","Country","Scenario","Benefit_cum","Pop_cum","BottomYS"
"1","Bin82","Brazil","Cash",0.927197451097806,0.504596895907063,0.00459689590706291
"2","Bin82","Brazil","Explicit",0.404083622949199,0.504596895907063,0.00459689590706291
"3","Bin82","Brazil","SP_covid",0.922459533427847,0.504596895907063,0.00459689590706291
"4","Bin82","Brazil","SP_current",0.923873309535161,0.504596895907063,0.00459689590706291
"5","Bin75","China","Cash",0.734599663977089,0.498341909837671,0.00165809016232904
"6","Bin75","China","Explicit",0.218043755400867,0.498341909837671,0.00165809016232904
"7","Bin75","China","SP_covid",0.542651585307519,0.498341909837671,0.00165809016232904
"8","Bin75","China","SP_current",0.624429309200705,0.498341909837671,0.00165809016232904
"9","Bin59","India","Cash",0.648308326496412,0.490244095122298,0.00975590487770223
"10","Bin59","India","Explicit",0.22175629583511,0.490244095122298,0.00975590487770223
"11","Bin59","India","SP_covid",0.490244095122298,0.490244095122298,0.00975590487770223
"12","Bin59","India","SP_current",0.529867083246981,0.490244095122298,0.00975590487770223
"13","Bin79","Mexico","Cash",0.780277660885245,0.503677639320169,0.00367763932016907
"14","Bin79","Mexico","Explicit",0.358125798937608,0.503677639320169,0.00367763932016907
"15","Bin79","Mexico","SP_covid",0.759426984413044,0.503677639320169,0.00367763932016907
"16","Bin79","Mexico","SP_current",0.759426986930513,0.503677639320169,0.00367763932016907
"17","Bin91","Russian Federation","Cash",0.605325064612859,0.495702183951141,0.00429781604885915
"18","Bin91","Russian Federation","Explicit",0.299642708909741,0.495702183951141,0.00429781604885915
"19","Bin91","Russian Federation","SP_covid",0.495702183951141,0.495702183951141,0.00429781604885915
"20","Bin91","Russian Federation","SP_current",0.585080946450894,0.495702183951141,0.00429781604885915
"21","Bin64","Indonesia","Cash",0.778150942004217,0.498530577664538,0.0014694223354621
"22","Bin64","Indonesia","Explicit",0.29893011298846,0.498530577664538,0.0014694223354621
"23","Bin64","Indonesia","SP_covid",0.630139137887825,0.498530577664538,0.0014694223354621
"24","Bin64","Indonesia","SP_current",0.716055220526398,0.498530577664538,0.0014694223354621
"25","Bin74","South Africa","Cash",0.710468862668207,0.502045832565705,0.00204583256570467
"26","Bin74","South Africa","Explicit",0.149534796631918,0.502045832565705,0.00204583256570467
"27","Bin74","South Africa","SP_covid",0.505429231684744,0.502045832565705,0.00204583256570467
"28","Bin74","South Africa","SP_current",0.609496809643051,0.502045832565705,0.00204583256570467
"29","Bin91","Turkiye","Cash",0.884511995559177,0.499983039215481,1.69607845189601e-05
"30","Bin91","Turkiye","Explicit",0.353693746748704,0.499983039215481,1.69607845189601e-05
"31","Bin91","Turkiye","SP_covid",0.84540109473827,0.499983039215481,1.69607845189601e-05
"32","Bin91","Turkiye","SP_current",0.851604540012998,0.499983039215481,1.69607845189601e-05
"33","Bin115","Belgium","Cash",0.869225763605415,0.492843486563123,0.00715651343687673
"34","Bin115","Belgium","Explicit",0.50040248148932,0.492843486563123,0.00715651343687673
"35","Bin115","Belgium","SP_covid",0.492838140168412,0.492843486563123,0.00715651343687673
"36","Bin115","Belgium","SP_current",0.500940780510225,0.492843486563123,0.00715651343687673
"37","Bin116","Denmark","Cash",0.857737077205237,0.516486611377638,0.0164866113776382
"38","Bin116","Denmark","Explicit",0.463514890169447,0.516486611377638,0.0164866113776382
"39","Bin116","Denmark","SP_covid",0.516486611377638,0.516486611377638,0.0164866113776382
"40","Bin116","Denmark","SP_current",0.535588552342172,0.516486611377638,0.0164866113776382
"41","Bin111","Spain","Cash",0.762135404794363,0.493411903750658,0.00658809624934181
"42","Bin111","Spain","Explicit",0.396637202547104,0.493411903750658,0.00658809624934181
"43","Bin111","Spain","SP_covid",0.508466509339302,0.493411903750658,0.00658809624934181
"44","Bin111","Spain","SP_current",0.611543633786923,0.493411903750658,0.00658809624934181
"45","Bin115","Finland","Cash",0.847665762389522,0.496988511802294,0.00301148819770597
"46","Bin115","Finland","Explicit",0.420744834305527,0.496988511802294,0.00301148819770597
"47","Bin115","Finland","SP_covid",0.496988511802294,0.496988511802294,0.00301148819770597
"48","Bin115","Finland","SP_current",0.532557111937096,0.496988511802294,0.00301148819770597
"49","Bin113","France","Cash",0.649373706505815,0.492176263103325,0.00782373689667493
"50","Bin113","France","Explicit",0.431527596092349,0.492176263103325,0.00782373689667493
"51","Bin113","France","SP_covid",0.492176263103325,0.492176263103325,0.00782373689667493
"52","Bin113","France","SP_current",0.592281787537338,0.492176263103325,0.00782373689667493
"53","Bin112","Ireland","Cash",0.779486745459162,0.489090179315354,0.0109098206846461
"54","Bin112","Ireland","Explicit",0.427666470662203,0.489090179315354,0.0109098206846461
"55","Bin112","Ireland","SP_covid",0.489090179315354,0.489090179315354,0.0109098206846461
"56","Bin112","Ireland","SP_current",0.516189892236936,0.489090179315354,0.0109098206846461
"57","Bin121","Luxembourg","Cash",0.616223526997012,0.502951532526504,0.00295153252650415
"58","Bin121","Luxembourg","Explicit",0.40107211042282,0.502951532526504,0.00295153252650415
"59","Bin121","Luxembourg","SP_covid",0.502951532526504,0.502951532526504,0.00295153252650415
"60","Bin121","Luxembourg","SP_current",0.561506622413272,0.502951532526504,0.00295153252650415
"61","Bin117","Germany","Cash",0.887727185734838,0.513403524209732,0.013403524209732
"62","Bin117","Germany","Explicit",0.454043163953504,0.513403524209732,0.013403524209732
"63","Bin117","Germany","SP_covid",0.513403524209732,0.513403524209732,0.013403524209732
