"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"1","Belgium","Cash",-166133.993106755,-9.8682319855443,-0.00591522258018534,-4.47279131973289,-10.9761404964053,-8.01603829761983,-0.390327250961909,-11.6698188853499
"2","Belgium","Null",355808.545056952,21.1347551419218,0.00489873706745914,3.70417652691244,-13.497565345557,-9.85747228454719,0.158340416105003,4.73398660642491
"3","Belgium","PerfectTargeted",-907014.376657163,-53.8759594932822,-0.0272804034839652,-20.6280575663591,-10.9056512114838,-7.96455892673459,-0.778677280201569,-23.2805237341114
"4","Belgium","SP_covid",105367.891532986,6.25877207927595,-0.000943585748495235,-0.7134916882808,-11.0283569988441,-8.05417278427792,-0.0221130584689355,-0.661125726419787
"5","Belgium","SP_current",101654.108756374,6.03817622590365,0.0119453101406403,9.03243771207327,-11.0261411185176,-8.05255449399032,-0.223834013978654,-6.6920831099407
"6","Belgium","Universal",105371.463180271,6.25898423238992,-0.000943947198921269,-0.71376499876171,-11.0283576145278,-8.05417323392086,-0.0221368634052168,-0.661837435106012
"7","Brazil","Cash",-18045257.4519012,-32.7643063057483,-0.0391481874324887,-7.78614282287291,-39.0024674295399,-8.61900170073146,-10.2784719002724,-36.4489200019351
"8","Brazil","Null",10593428.0095244,19.2342127042019,0.0110438921680995,2.19650837959024,-68.6654734280448,-15.1741125949792,5.83358466527409,20.6867190816034
"9","Brazil","PerfectTargeted",-28247040.8173301,-51.287419979285,-0.0510100890655585,-10.1453442654742,-38.2421130147429,-8.45097397258495,-14.2268771340258,-50.4505252888535
"10","Brazil","SP_covid",-14786522.8405607,-26.8475063232768,-0.0419809972981592,-8.34955746990329,-39.3838975923855,-8.70329245049532,-13.3232839688465,-47.2462556939692
"11","Brazil","SP_current",-17436420.6805907,-31.658857158315,-0.0392548340445124,-7.80735365809292,-39.0891465864839,-8.63815658631577,-10.5651581120066,-37.4655499930993
"12","Brazil","Universal",-2713897.33092328,-4.92755305208211,-0.0171401957449416,-3.40899594169614,-48.2814282673802,-10.6695227193528,-4.98355162462633,-17.6723812891587
"13","China","Cash",17928781.4970435,41.4225452370626,0.0949544505373782,23.3193879315402,-1553.50955882345,-18.7280691311736,6.68428348836929,44.505991507615
"14","China","Null",36951520.5040153,85.3725630996298,-0.00406134538893305,-0.997405472966436,-2415.42157732724,-29.1187022469128,-0.967649702794414,-6.4429058895916
"15","China","PerfectTargeted",-43282665.0183771,-100,-0.222105562765222,-54.545792751825,-1538.63974365551,-18.548808614332,-11.396476903729,-75.8812077878873
"16","China","SP_covid",-43282665.0183771,-100,-0.162386907638203,-39.8797873379069,-1528.80254151485,-18.4302179042195,-10.2527067168113,-68.2656381738518
"17","China","SP_current",-13960276.6661128,-32.2537363634736,-0.0705161060755076,-17.3176973137146,-1539.45438168307,-18.5586293439249,-3.51101957489751,-23.3774356900563
"18","China","Universal",-43282665.0183771,-100,-0.150389382998614,-36.9333753508388,-1524.76768681784,-18.3815764026138,-9.92342540587608,-66.0731831031479
"19","Denmark","Cash",-20778.7466948562,-2.9787645283703,0.00351018514151227,2.48707572160861,-4.24099468237623,-8.35805010578082,-0.159806688404808,-4.68877194844348
"20","Denmark","Null",61158.3400033776,8.76743417162738,0.00442843822131994,3.13768668627644,-4.71528466507196,-9.2927693725873,0.16565373138852,4.86032578888054
"21","Denmark","PerfectTargeted",-409010.516798684,-58.6342399309352,-0.0130889495425279,-9.27392924196488,-4.21035932337681,-8.29767467862226,-0.595744483740084,-17.4793061021619
"22","Denmark","SP_covid",25735.4190609755,3.68933480673096,0.00134403927908661,0.952293775155262,-4.25698468576403,-8.38956281907477,0.076193968083583,2.23555186429953
"23","Denmark","SP_current",24423.9731952648,3.50133076187565,0.00222475477075024,1.57630818711802,-4.25648942899404,-8.38858677896889,0.0651528204771896,1.91160157353107
"24","Denmark","Universal",25735.4190609755,3.68933480673096,0.00134403927908661,0.952293775155262,-4.25698468576403,-8.38956281907477,0.076193968083583,2.23555186429953
"25","Finland","Cash",84479.4372517121,12.7808271648724,0.00568983428700251,3.23256074310664,-4.07873680147819,-7.64818059909704,0.0757223221672558,1.89599862676648
"26","Finland","Null",95421.8296151607,14.4362930405594,0.000416912504310946,0.236860148602997,-4.11888521442119,-7.72346427830966,0.000979185555514572,0.0245176642166953
"27","Finland","PerfectTargeted",95421.8296151607,14.4362930405594,-0.0011000141754299,-0.624950123499785,-4.07611290197706,-7.64326043429228,-0.0991540018090786,-2.48270055497199
"28","Finland","SP_covid",91091.9422781769,13.7812278140656,0.000150020427850645,0.0852309788427134,-4.07960346423162,-7.64980570843342,-0.00733629280549053,-0.18369221501215
"29","Finland","SP_current",90598.0367795031,13.7065052422814,0.0121375857586553,6.8957163355612,-4.07949557269961,-7.6496033972861,0.142233900791115,3.56137097834815
"30","Finland","Universal",91091.9422781769,13.7812278140656,0.000150020427850645,0.0852309788427134,-4.07960346423162,-7.64980570843342,-0.00733629280549053,-0.18369221501215
"31","France","Cash",-506081.299622515,-3.63051174041531,0.000435585180594694,0.243267754481233,-46.9158864094293,-10.6312769505891,-0.404608863996022,-9.69752338803763
"32","France","Null",3557020.86519163,25.5172558670174,0.0022876639686665,1.2776258271811,-55.5594604804622,-12.5899360919757,0.023234981702525,0.556887894781954
"33","France","PerfectTargeted",-4433020.72883524,-31.8014789591027,-0.0251463566656388,-14.0438609758999,-46.6092191566451,-10.5617852550135,-0.865060680713132,-20.7334710872024
"34","France","SP_covid",413856.988784339,2.9689155828425,-0.00456073364012108,-2.54710095945994,-47.0013827137303,-10.6506506629676,-0.204046296326475,-4.89051008750985
"35","France","SP_current",84127.7729253322,0.603513442461179,0.00282800824018181,1.57939995411275,-46.9465525407413,-10.6382259855522,-0.309052830162384,-7.40726987303079
"36","France","Universal",413856.988784339,2.9689155828425,-0.00456073364012108,-2.54710095945994,-47.0013827137303,-10.6506506629676,-0.204046296326475,-4.89051008750985
"37","Germany","Cash",-4035984.28521085,-30.3280118495899,-0.0220126193049038,-11.2689445536879,-88.1780000858017,-11.4383510631211,-0.583574100504379,-12.7119997597948
"38","Germany","Null",3155117.17155405,23.7088214927816,0.000521368552539231,0.266904779900148,-110.551479865585,-14.3406137133942,0.0298644055909358,0.650536609438755
"39","Germany","PerfectTargeted",-10435547.7946506,-78.4169101779817,-0.0439041454578606,-22.4758977561321,-87.783358519011,-11.387158602636,-1.49467278173336,-32.5584703398325
"40","Germany","SP_covid",-909312.746575369,-6.83294230212301,-0.0103184027307779,-5.28231132538845,-89.0797215636978,-11.5553213597404,-0.357847298218776,-7.79499084189765
"41","Germany","SP_current",-720560.255380373,-5.41458004274113,0.0044098442970735,2.25753646968525,-89.0078762128356,-11.5460016615775,-0.390427208012931,-8.50467930325924
"42","Germany","Universal",-909312.746575369,-6.83294230212301,-0.0103184027307779,-5.28231132538845,-89.0797215636978,-11.5553213597404,-0.357847298218776,-7.79499084189765
"43","India","Cash",46727430.3335842,15.9386694569315,-0.0300278556406606,-6.35439252165734,-232.821916826926,-11.817958513995,0.430747167757279,2.51081340772589
"44","India","Null",216948194.130785,74.0007642372651,0.0151362481143918,3.20308126477743,-449.960219547107,-22.8398222986402,1.70707207304979,9.95047621852975
"45","India","PerfectTargeted",-292221054.90245,-99.6762451775236,-0.142380200897138,-30.1300130998277,-224.733497885681,-11.4073932167317,-9.8891467267437,-57.643564603698
"46","India","SP_covid",-239366313.579138,-81.6475574202511,-0.0779258541724071,-16.4904038078028,-243.194806337367,-12.3444827329145,-7.21336230041956,-42.0464906895997
"47","India","SP_current",-217107081.476567,-74.0549605169926,-0.0770014346918213,-16.2947813063294,-240.208242219782,-12.1928857899719,-6.46033545488092,-37.6571178934881
"48","India","Universal",-239366313.579138,-81.6475574202511,-0.0779258541724071,-16.4904038078028,-243.194806337367,-12.3444827329145,-7.21336230041956,-42.0464906895997
