"","year","countryname","Group","TotalSub"
"119",2016,"Ireland","Natural gas",0
"120",2016,"Ireland","Petroleum",175.121668981506
"121",2016,"Italy","Coal",2701.04179993626
"122",2016,"Italy","Fossil-based electricity",0
"123",2016,"Italy","Natural gas",0
"124",2016,"Italy","Petroleum",13007.5706622718
"125",2016,"Japan","Coal",38989.7651822996
"126",2016,"Japan","Fossil-based electricity",0
"127",2016,"Japan","Natural gas",5531.73810193434
"128",2016,"Japan","Petroleum",122348.334636643
"129",2016,"Luxembourg","Coal",15.2479063010347
"130",2016,"Luxembourg","Fossil-based electricity",0
"131",2016,"Luxembourg","Natural gas",45.8981455013635
"132",2016,"Luxembourg","Petroleum",1562.44748363684
"133",2016,"Mexico","Coal",3799.88020611949
"134",2016,"Mexico","Fossil-based electricity",0
"135",2016,"Mexico","Natural gas",8687.03601207215
"136",2016,"Mexico","Petroleum",54555.7283993453
"137",2016,"Russian Federation","Coal",81401.0981977495
"138",2016,"Russian Federation","Fossil-based electricity",0
"139",2016,"Russian Federation","Natural gas",45206.5417477999
"140",2016,"Russian Federation","Petroleum",98335.0310841751
"141",2016,"South Africa","Coal",36887.5303441134
"142",2016,"South Africa","Fossil-based electricity",0
"143",2016,"South Africa","Natural gas",0
"144",2016,"South Africa","Petroleum",6277.49020037959
"145",2016,"Spain","Coal",4577.26206058927
"146",2016,"Spain","Fossil-based electricity",0
"147",2016,"Spain","Natural gas",0
"148",2016,"Spain","Petroleum",9868.10588283238
"149",2016,"Turkiye","Coal",29885.7341779467
"150",2016,"Turkiye","Fossil-based electricity",0
"151",2016,"Turkiye","Natural gas",2386.05058214531
"152",2016,"Turkiye","Petroleum",4022.14430157324
"153",2016,"United Kingdom","Coal",7903.32005405938
"154",2016,"United Kingdom","Fossil-based electricity",0
"155",2016,"United Kingdom","Natural gas",2611.71480120474
"156",2016,"United Kingdom","Petroleum",28606.2120873836
"157",2016,"United States","Coal",147789.485237294
"158",2016,"United States","Fossil-based electricity",0
"159",2016,"United States","Natural gas",69229.4639944049
"160",2016,"United States","Petroleum",479983.487527162
"161",2017,"Belgium","Coal",1041.86110412194
"162",2017,"Belgium","Fossil-based electricity",0
"163",2017,"Belgium","Natural gas",461.811914911949
"164",2017,"Belgium","Petroleum",2978.70215630222
"165",2017,"Brazil","Coal",5318.58247536417
"166",2017,"Brazil","Fossil-based electricity",0
"167",2017,"Brazil","Natural gas",96.0199286320343
"168",2017,"Brazil","Petroleum",33060.4630607853
"169",2017,"China","Coal",971227.194704867
"170",2017,"China","Fossil-based electricity",0
"171",2017,"China","Natural gas",10185.8658922556
"172",2017,"China","Petroleum",237484.594460948
"173",2017,"Denmark","Coal",338.463630273027
"174",2017,"Denmark","Fossil-based electricity",0
"175",2017,"Denmark","Natural gas",0
"176",2017,"Denmark","Petroleum",0
"177",2017,"Finland","Coal",840.654980341797
"178",2017,"Finland","Fossil-based electricity",0
"179",2017,"Finland","Natural gas",5.49378316181786
"180",2017,"Finland","Petroleum",0
"181",2017,"France","Coal",2775.48184949845
"182",2017,"France","Fossil-based electricity",0
"183",2017,"France","Natural gas",0
"184",2017,"France","Petroleum",21169.0318726591
"185",2017,"Germany","Coal",23691.3096782389
"186",2017,"Germany","Fossil-based electricity",0
"187",2017,"Germany","Natural gas",452.753467863996
"188",2017,"Germany","Petroleum",44521.3729100188
"189",2017,"India","Coal",113331.575534059
"190",2017,"India","Fossil-based electricity",0
"191",2017,"India","Natural gas",5843.16049495872
"192",2017,"India","Petroleum",57105.2969665758
"193",2017,"Indonesia","Coal",16126.7438712949
"194",2017,"Indonesia","Fossil-based electricity",0
"195",2017,"Indonesia","Natural gas",4489.01086324639
"196",2017,"Indonesia","Petroleum",50524.4403185965
"197",2017,"Ireland","Coal",1803.62515305525
"198",2017,"Ireland","Fossil-based electricity",0
"199",2017,"Ireland","Natural gas",16.2619946878002
"200",2017,"Ireland","Petroleum",157.599634626944
"201",2017,"Italy","Coal",2373.48786660909
"202",2017,"Italy","Fossil-based electricity",0
"203",2017,"Italy","Natural gas",0
"204",2017,"Italy","Petroleum",12287.1784666351
"205",2017,"Japan","Coal",41883.8335406282
"206",2017,"Japan","Fossil-based electricity",0
"207",2017,"Japan","Natural gas",4108.23438989008
"208",2017,"Japan","Petroleum",141115.151691396
"209",2017,"Luxembourg","Coal",14.544979966481
"210",2017,"Luxembourg","Fossil-based electricity",0
"211",2017,"Luxembourg","Natural gas",62.5915631348677
"212",2017,"Luxembourg","Petroleum",1780.44480506916
"213",2017,"Mexico","Coal",3908.67166784439
"214",2017,"Mexico","Fossil-based electricity",0
"215",2017,"Mexico","Natural gas",7145.79868035577
"216",2017,"Mexico","Petroleum",48460.1463673542
"217",2017,"Russian Federation","Coal",87543.7937702315
"218",2017,"Russian Federation","Fossil-based electricity",0
"219",2017,"Russian Federation","Natural gas",48644.6768891085
"220",2017,"Russian Federation","Petroleum",101460.333914285
"221",2017,"South Africa","Coal",37572.8799395927
"222",2017,"South Africa","Fossil-based electricity",0
"223",2017,"South Africa","Natural gas",0
"224",2017,"South Africa","Petroleum",5091.50424724089
"225",2017,"Spain","Coal",5886.72910949102
"226",2017,"Spain","Fossil-based electricity",0
"227",2017,"Spain","Natural gas",744.439118174737
"228",2017,"Spain","Petroleum",10779.0893002626
"229",2017,"Turkiye","Coal",32730.1305949409
"230",2017,"Turkiye","Fossil-based electricity",0
"231",2017,"Turkiye","Natural gas",7904.6618510122
"232",2017,"Turkiye","Petroleum",8792.80104371274
"233",2017,"United Kingdom","Coal",6334.93151417782
"234",2017,"United Kingdom","Fossil-based electricity",0
"235",2017,"United Kingdom","Natural gas",10009.8679750438
"236",2017,"United Kingdom","Petroleum",27537.2413309979
"237",2017,"United States","Coal",149312.386786901
"238",2017,"United States","Fossil-based electricity",0
"239",2017,"United States","Natural gas",68954.2901450058
"240",2017,"United States","Petroleum",494266.529908505
"241",2018,"Belgium","Coal",1014.00416279478
"242",2018,"Belgium","Fossil-based electricity",0
"243",2018,"Belgium","Natural gas",543.346947272766
"244",2018,"Belgium","Petroleum",1183.02771352901
"245",2018,"Brazil","Coal",5516.7621494908
"246",2018,"Brazil","Fossil-based electricity",0
"247",2018,"Brazil","Natural gas",99.7362762528468
"248",2018,"Brazil","Petroleum",50746.7458863675
"249",2018,"China","Coal",1070344.19500434
"250",2018,"China","Fossil-based electricity",0
"251",2018,"China","Natural gas",15879.2868277272
"252",2018,"China","Petroleum",325901.679647069
"253",2018,"Denmark","Coal",304.633920263333
"254",2018,"Denmark","Fossil-based electricity",0
"255",2018,"Denmark","Natural gas",0
"256",2018,"Denmark","Petroleum",0
"257",2018,"Finland","Coal",789.449125028076
"258",2018,"Finland","Fossil-based electricity",0
"259",2018,"Finland","Natural gas",7.58576476948996
"260",2018,"Finland","Petroleum",0
"261",2018,"France","Coal",2521.98818666385
"262",2018,"France","Fossil-based electricity",0
"263",2018,"France","Natural gas",0
"264",2018,"France","Petroleum",9469.98484557933
"265",2018,"Germany","Coal",22268.8965689545
"266",2018,"Germany","Fossil-based electricity",0
"267",2018,"Germany","Natural gas",2316.49948555078
"268",2018,"Germany","Petroleum",44891.8503352607
"269",2018,"India","Coal",126281.330482576
"270",2018,"India","Fossil-based electricity",0
"271",2018,"India","Natural gas",5683.08364120761
"272",2018,"India","Petroleum",74145.5581411631
"273",2018,"Indonesia","Coal",19331.847965333
"274",2018,"Indonesia","Fossil-based electricity",0
"275",2018,"Indonesia","Natural gas",4661.04810192548
"276",2018,"Indonesia","Petroleum",59369.9770223484
"277",2018,"Ireland","Coal",1699.40030462188
"278",2018,"Ireland","Fossil-based electricity",0
"279",2018,"Ireland","Natural gas",21.875862012788
"280",2018,"Ireland","Petroleum",727.23317975115
"281",2018,"Italy","Coal",2090.33629863079
"282",2018,"Italy","Fossil-based electricity",0
"283",2018,"Italy","Natural gas",0
"284",2018,"Italy","Petroleum",13555.6680111868
"285",2018,"Japan","Coal",41501.3450491305
"286",2018,"Japan","Fossil-based electricity",0
"287",2018,"Japan","Natural gas",7681.96714276959
"288",2018,"Japan","Petroleum",137583.880133173
"289",2018,"Luxembourg","Coal",12.1693751211494
"290",2018,"Luxembourg","Fossil-based electricity",0
"291",2018,"Luxembourg","Natural gas",71.706572492543
"292",2018,"Luxembourg","Petroleum",2015.39275599416
"293",2018,"Mexico","Coal",3922.68041408207
"294",2018,"Mexico","Fossil-based electricity",0
"295",2018,"Mexico","Natural gas",9660.55398597842
"296",2018,"Mexico","Petroleum",50527.7205515457
"297",2018,"Russian Federation","Coal",99017.9965121771
"298",2018,"Russian Federation","Fossil-based electricity",0
"299",2018,"Russian Federation","Natural gas",57457.7803993977
"300",2018,"Russian Federation","Petroleum",125374.641865542
"301",2018,"South Africa","Coal",39149.3700183546
"302",2018,"South Africa","Fossil-based electricity",0
"303",2018,"South Africa","Natural gas",0
"304",2018,"South Africa","Petroleum",6330.51071848584
"305",2018,"Spain","Coal",5165.63543672348
"306",2018,"Spain","Fossil-based electricity",0
"307",2018,"Spain","Natural gas",1912.5500614106
"308",2018,"Spain","Petroleum",12200.3691670005
"309",2018,"Turkiye","Coal",34350.6607094593
"310",2018,"Turkiye","Fossil-based electricity",0
"311",2018,"Turkiye","Natural gas",8884.56551903946
"312",2018,"Turkiye","Petroleum",15242.1819243643
"313",2018,"United Kingdom","Coal",4900.58194001897
"314",2018,"United Kingdom","Fossil-based electricity",0
"315",2018,"United Kingdom","Natural gas",11120.506294652
"316",2018,"United Kingdom","Petroleum",25145.3615659149
"317",2018,"United States","Coal",151372.530358409
"318",2018,"United States","Fossil-based electricity",0
"319",2018,"United States","Natural gas",79234.0613319433
"320",2018,"United States","Petroleum",518786.795490586
"321",2019,"Belgium","Coal",935.926529030029
"322",2019,"Belgium","Fossil-based electricity",0
"323",2019,"Belgium","Natural gas",410.993351856455
"324",2019,"Belgium","Petroleum",3694.25172744796
"325",2019,"Brazil","Coal",5433.6900252012
"326",2019,"Brazil","Fossil-based electricity",0
"327",2019,"Brazil","Natural gas",109.705115270305
"328",2019,"Brazil","Petroleum",50849.6032848467
"329",2019,"China","Coal",1125857.92262662
"330",2019,"China","Fossil-based electricity",0
"331",2019,"China","Natural gas",16984.9818794587
"332",2019,"China","Petroleum",361122.563789032
"333",2019,"Denmark","Coal",158.720733008585
"334",2019,"Denmark","Fossil-based electricity",0
"335",2019,"Denmark","Natural gas",0
"336",2019,"Denmark","Petroleum",1175.39789975568
"337",2019,"Finland","Coal",629.476766321763
"338",2019,"Finland","Fossil-based electricity",0
"339",2019,"Finland","Natural gas",3.36637804190695
"340",2019,"Finland","Petroleum",53.567555059168
"341",2019,"France","Coal",1983.77566843771
"342",2019,"France","Fossil-based electricity",0
"343",2019,"France","Natural gas",0
"344",2019,"France","Petroleum",19205.3385436202
"345",2019,"Germany","Coal",16993.2614795857
"346",2019,"Germany","Fossil-based electricity",0
"347",2019,"Germany","Natural gas",264.358809547991
"348",2019,"Germany","Petroleum",54746.3040380352
"349",2019,"India","Coal",130387.974634444
"350",2019,"India","Fossil-based electricity",0
"351",2019,"India","Natural gas",7399.29315736618
"352",2019,"India","Petroleum",83744.5907429412
"353",2019,"Indonesia","Coal",25622.3539905599
"354",2019,"Indonesia","Fossil-based electricity",0
"355",2019,"Indonesia","Natural gas",4950.88783717373
"356",2019,"Indonesia","Petroleum",58692.199406378
