"","Group","Country","Scenario","Benefit_cum","Pop_cum"
"109","Bin1","United Kingdom","SP_covid",0,0
"110","Bin1","Indonesia","SP_covid",0,0
"111","Bin1","India","SP_covid",0.000101731538238845,0.000101731538238845
"112","Bin1","Ireland","SP_covid",0,0
"113","Bin1","Italy","SP_covid",0,0
"114","Bin1","Japan","SP_covid",0,0
"115","Bin1","Luxembourg","SP_covid",0,0
"116","Bin1","Mexico","SP_covid",0,0
"117","Bin1","Russian Federation","SP_covid",4.45545002433216e-05,4.45545002433216e-05
"118","Bin1","Turkiye","SP_covid",3.5969746177876e-05,1.35903722106678e-05
"119","Bin1","United States","SP_covid",0,0
"120","Bin1","South Africa","SP_covid",0.000542279325112748,0.000538649247396934
"121","Bin2","Belgium","Cash",0,0
"122","Bin2","Brazil","Cash",0,0
"123","Bin2","China","Cash",0,0
"124","Bin2","Germany","Cash",0,0
"125","Bin2","Denmark","Cash",0,0
"126","Bin2","Spain","Cash",0,0
"127","Bin2","Finland","Cash",0,0
"128","Bin2","France","Cash",5.98436247313164e-05,3.44991293238757e-05
"129","Bin2","United Kingdom","Cash",0,0
"130","Bin2","Indonesia","Cash",0,0
"131","Bin2","India","Cash",0.000164016465106686,0.000106458892371528
"132","Bin2","Ireland","Cash",0,0
"133","Bin2","Italy","Cash",0,0
"134","Bin2","Japan","Cash",0,0
"135","Bin2","Luxembourg","Cash",0,0
"136","Bin2","Mexico","Cash",0,0
"137","Bin2","Russian Federation","Cash",6.69431393911326e-05,4.60626920710222e-05
"138","Bin2","Turkiye","Cash",6.17578569065315e-05,1.64443503749081e-05
"139","Bin2","United States","Cash",0,0
"140","Bin2","South Africa","Cash",0.000906828610038402,0.000567598171914692
"141","Bin2","Belgium","SP_current",0,0
"142","Bin2","Brazil","SP_current",0,0
"143","Bin2","China","SP_current",0,0
"144","Bin2","Germany","SP_current",0,0
"145","Bin2","Denmark","SP_current",0,0
"146","Bin2","Spain","SP_current",0,0
"147","Bin2","Finland","SP_current",0,0
"148","Bin2","France","SP_current",5.13984327400399e-05,3.44991293238757e-05
"149","Bin2","United Kingdom","SP_current",0,0
"150","Bin2","Indonesia","SP_current",0,0
"151","Bin2","India","SP_current",0.00011607078123402,0.000106458892371528
"152","Bin2","Ireland","SP_current",0,0
"153","Bin2","Italy","SP_current",0,0
"154","Bin2","Japan","SP_current",0,0
"155","Bin2","Luxembourg","SP_current",0,0
"156","Bin2","Mexico","SP_current",0,0
"157","Bin2","Russian Federation","SP_current",6.20425263453344e-05,4.60626920710222e-05
"158","Bin2","Turkiye","SP_current",5.3175022027979e-05,1.64443503749081e-05
"159","Bin2","United States","SP_current",0,0
"160","Bin2","South Africa","SP_current",0.000724067302516114,0.000567598171914692
"161","Bin2","Belgium","SP_covid",0,0
"162","Bin2","Brazil","SP_covid",0,0
"163","Bin2","China","SP_covid",0,0
"164","Bin2","Germany","SP_covid",0,0
"165","Bin2","Denmark","SP_covid",0,0
"166","Bin2","Spain","SP_covid",0,0
"167","Bin2","Finland","SP_covid",0,0
"168","Bin2","France","SP_covid",3.44991293238757e-05,3.44991293238757e-05
"169","Bin2","United Kingdom","SP_covid",0,0
"170","Bin2","Indonesia","SP_covid",0,0
"171","Bin2","India","SP_covid",0.000106458892371528,0.000106458892371528
"172","Bin2","Ireland","SP_covid",0,0
"173","Bin2","Italy","SP_covid",0,0
"174","Bin2","Japan","SP_covid",0,0
"175","Bin2","Luxembourg","SP_covid",0,0
"176","Bin2","Mexico","SP_covid",0,0
"177","Bin2","Russian Federation","SP_covid",4.60626920710222e-05,4.60626920710222e-05
"178","Bin2","Turkiye","SP_covid",4.352339287523e-05,1.64443503749081e-05
"179","Bin2","United States","SP_covid",0,0
"180","Bin2","South Africa","SP_covid",0.000571423342905577,0.000567598171914692
"181","Bin3","Belgium","Cash",0,0
"182","Bin3","Brazil","Cash",0,0
"183","Bin3","China","Cash",0,0
"184","Bin3","Germany","Cash",0,0
"185","Bin3","Denmark","Cash",0,0
"186","Bin3","Spain","Cash",0,0
"187","Bin3","Finland","Cash",0,0
"188","Bin3","France","Cash",6.39301050635648e-05,3.68549360467252e-05
"189","Bin3","United Kingdom","Cash",0,0
"190","Bin3","Indonesia","Cash",0,0
"191","Bin3","India","Cash",0.000171790178881421,0.000111504611150636
"192","Bin3","Ireland","Cash",0,0
"193","Bin3","Italy","Cash",0,0
"194","Bin3","Japan","Cash",0,0
"195","Bin3","Luxembourg","Cash",0,0
"196","Bin3","Mexico","Cash",0,0
"197","Bin3","Russian Federation","Cash",6.92161821717319e-05,4.76267428553043e-05
"198","Bin3","Turkiye","Cash",7.35990327762135e-05,1.9597316727783e-05
"199","Bin3","United States","Cash",0,0
"200","Bin3","South Africa","Cash",0.000955282997727958,0.000597926528970689
"201","Bin3","Belgium","SP_current",0,0
"202","Bin3","Brazil","SP_current",0,0
"203","Bin3","China","SP_current",0,0
"204","Bin3","Germany","SP_current",0,0
"205","Bin3","Denmark","SP_current",0,0
"206","Bin3","Spain","SP_current",0,0
"207","Bin3","Finland","SP_current",0,0
"208","Bin3","France","SP_current",5.49082248932324e-05,3.68549360467252e-05
"209","Bin3","United Kingdom","SP_current",0,0
"210","Bin3","Indonesia","SP_current",0,0
"211","Bin3","India","SP_current",0.000121572064476141,0.000111504611150636
"212","Bin3","Ireland","SP_current",0,0
"213","Bin3","Italy","SP_current",0,0
"214","Bin3","Japan","SP_current",0,0
"215","Bin3","Luxembourg","SP_current",0,0
"216","Bin3","Mexico","SP_current",0,0
"217","Bin3","Russian Federation","SP_current",6.41491696531039e-05,4.76267428553043e-05
"218","Bin3","Turkiye","SP_current",6.3370563441608e-05,1.9597316727783e-05
"219","Bin3","United States","SP_current",0,0
