"","Country","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate"
"1","Belgium",115094.544671115,6.83652782820502,0.00523312767178116,3.95702574300482,-5.45741911046656,-3.98563416803834
"2","Brazil",1943844.07415274,3.52938730998509,0.00630041028270933,1.25308213537266,-26.8185469207913,-5.92652508303559
"3","China",5572732.85480096,12.8752073201474,-0.000177061781085452,-0.0434837160092435,-610.935837127451,-7.36503263043945
"4","Denmark",5354.7388135558,0.767635616851533,0.00430241058200284,3.04839217064238,-1.7273901238672,-3.40429882345989
"5","Finland",1297.20986936311,0.196253853911185,0.000426401228079437,0.242250969215519,-0.127037389121369,-0.238212206898439
"6","France",580117.930783106,4.16163363496034,0.00234024162406496,1.30698965481915,-31.4686311358008,-7.13088376804902
"7","Germany",1143209.85947172,8.59053943586281,0.00113732632028085,0.582232721384484,-52.3777357665223,-6.79438101347171
"8","India",85313995.2169036,29.1004996445342,0.0179936540854207,3.807755782696,-113.512071302824,-5.7618327680535
"9","Indonesia",16262664.8215796,57.9712089196086,0.0184937665682107,4.54302409808366,-50.2630862634651,-9.95969830016775
"10","Ireland",5538.92431615945,0.834905207118006,0.00218883229054501,1.17527141781996,-2.847255509799,-5.28502065982609
"11","Italy",318567.158565572,2.59230535318257,-7.74526948864596e-05,-0.0220551955190325,-25.5182216543587,-6.38275502108195
"12","Japan",131566.723041512,7.401335009729,0.00453803107002101,2.18289512827503,-84.8963011926946,-6.99873238747551
"13","Luxembourg",24360.8183845121,23.4774863985427,0.00255003244549012,1.58774985393815,-1.50670322717149,-11.5714876252416
"14","Mexico",4138907.78801363,7.9165517163683,0.0120703803987251,2.9198979005871,-54.8019523170305,-11.9364186218515
"15","Russian Federation",4873988.73544879,25.5536266729445,0.00100551156868445,0.355013401815089,-175.98523914827,-14.0329822256225
"16","South Africa",2206186.48948937,6.97268577329783,0.0208448280188183,3.5229133770962,-37.08296436863,-12.4985551729671
"17","Spain",600391.078017864,5.95797705484161,0.000677026944449571,0.325648394242452,-12.3575673698052,-4.44319810288446
"18","Turkiye",1198869.3762362,10.6328117874556,0.00299909640922735,0.966287747436032,-30.0272050876707,-6.98046638493923
"19","United Kingdom",816429.25661632,4.5423667396001,0.00303465776177125,1.37534136265452,-65.0441111257503,-11.1674093220844
"20","United States",927968.682866842,2.32050056801346,-0.00197618849000858,-0.405495230414287,-676.479164291918,-12.250427644413
"21","Other HICs",2855458.81755198,7.93257305227624,0.00225925983213746,0.742225066884329,-193.456188321767,-6.28293984046465
"22","Other LICs",4299500.1336304,1.93210714040829,5.38608206374305e-05,0.0139907980963252,-7.59659645660573,-5.26974060922961
"23","Other LMICs",48208202.6526618,14.3096850458493,0.00603495466797267,1.63081537838559,-264.807129763526,-10.9427929598883
"24","Other UMICs",16772726.4421554,16.9214517260387,0.0145893707394871,3.56603114623558,-157.525070868976,-9.81127102349268
